Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
100 Bullets,Property,,100 Bullets #1,Aug-99,Y,Brian Azzarello,writer,Sole Creator/All Rights; Writer,1998,Assignment agreement between Azzarello & Risso (sharing creator credit),,B0966B0E-FE08-4947-8CAC-ABC4CD5D27A8
,Property,,,,,Eduardo Risso,"pencils, inks",WFH,1998,,,5607F1DE-6FA5-9F4E-9585-159AA5B95603
,Property,,,,,Dave Johnson,cover,WFH,,,,AC1C3096-D9F8-4A4E-A744-3398BDB1E7CF
,Property,,,,,Grant Goleash,color,N/A,,,,C985491F-B216-2A43-88FF-7BC0CC52A36A
"The 1000
(The 10; The 100)",Property,Black Lightning 101,"Superman's Girl-Friend, Lois Lane #105
""Death House Honeymoon""",Oct-70,N,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 through 5/31/82.
Deceased",,2CC1C340-4193-CC48-BC0B-DE29020109E1
,Property,,,,,Ross Andru,pencils,None,,Deceased,,F57EE6F7-23AD-504D-A469-55976FE0E232
,Property,,,,,Art Saaf,pencils,None,,Deceased,,740E9EB5-7423-6D41-A501-9667A2EB399E
,Property,,,,,Mike Esposito,inks,None,,Deceased,,5685396D-99C5-C544-809D-D680DD50FB80
,Property,,,,,Curt Swan,cover pencils,None,,Deceased,,517B9FDD-B4E4-234B-9D93-7D6C9BCB5B61
,Property,,,,,Murphy Anderson,cover inks,None,,Deceased,,8891CE79-5BAF-7345-A4DF-05679D53C549
Aaron Cash,Character,Lego Batman,Arkham Asylum: Living Hell #1,Jul-03,N,Dan Slott,writer,WFH,,Character Equity agreement sent.,,84479FCF-0049-6446-BE59-3CB747DAA0B3
,Character,,,,,Ryan Sook,"pencils, inks",WFH,2017,"Sook signed a WFH agreement for the cover of this issue; however, Powell clearly did the artwork. We do have WFH for Powell for issues #2-6.",,6676E434-3228-C246-B4F4-E65A2F78E284
,Character,,,,,Eric Powell,cover,None,,,,138A0843-C347-6A42-837D-39438581F908
,Character,,,,,Lee Loughridge,color,N/A,,,,DCE74225-2848-8744-B2F4-0EFD2292C8A0
Abel,Character,,DC Special #4,Jul-69,N,Joe Orlando,"writer, pencils, inks, editor",None,,Deceased,,96CD9BBA-527B-544B-9B80-B86A1EC1D8B4
,Character,,,,,Bob Haney,writer,Contributor Recognition,2014,Deceased Contributor Recognition agreement is with heirs.,,A9AADE64-F020-B046-9A57-175BFC255181
,Character,,,,,Jack Sparling,"pencils, inks",None,,Deceased,,4184D03B-AEC5-144E-961F-A2605565153F
,Character,,,,,Neal Adams,cover,Creator Recognition,,,,29CA2CF1-C57F-4C4E-BBE1-E9070115E921
"Abigail Arcane Cable Holland
(Abby)",Character,Dark Universe,Swamp Thing #3,Feb-73,Y,Len Wein,writer,Settlement,2002,Deceased,,2C3845F6-49EE-3D44-86CE-902D68149A11
,Character,,,,,Berni Wrightson,"pencils, inks, cover",Settlement,2002,Deceased,,D282E68A-7D6A-8F45-B683-A1BA7960FDBE
Abin Sur,Character,"Green Lantern
(2011)","Showcase #22
""SOS Green Lantern""",Sep-59,N,John Broome,writer,None,,Deceased,,DF1CF18E-DEA2-6C45-98C6-EB1B25550F75
,Character,,,,,Gil Kane,pencils; cover,None,,Deceased,,1DC71869-7D3D-A44B-9233-203D981592A9
,Character,,,,,Murphy Anderson,inks,None,,Deceased,,D8BFF2A3-0EA1-9B49-9D87-FEA4758924EC
"Abra Kadabra
(Citizen Abra; Dr. Petrou; Professor Zoom)",Character,Flash 304,"Flash #128
""The Case of the Real-Gone Flash""",May-62,N,John Broome,writer,None,,Deceased,,59FCC972-FAAD-C549-9C2F-1B1199F91DD7
,Character,,,,,Carmine Infantino,"pencils, cover pencils",Settlement,2005,Deceased,,588DFD49-44B7-9340-869C-FD8CC88A994C
,Character,,,,,Joe Giella,"inks, cover inks",None,,,,D4F54D45-1CA5-5C4A-9FF0-B90C967DB70D
Acantha,Character,"Wonder Woman
(2017)",Wonder Woman #10,Nov-87,N,George Perez,"plot, pencils, cover",Continuity,,,,DA31C7E8-4D05-0645-B29C-9F2797400D45
,Character,,,,,Len Wein,script,WFH,,Deceased,,F8546238-B16D-754B-8C66-5397ACD0CA18
,Character,,,,,Bruce Patterson,inks,WFH,,,,3C7C42F8-DBB1-9341-821B-8A470D161E81
,Character,,,,,Carl Gafford,color,N/A,,,,7C7FCC0C-7243-0247-9479-7284AA0DD872
Accelerated Man,Character,Flash 314,"The Multiversity Guidebook #1
""Earth 19""",Mar-15,N,Grant Morrison,writer,WFH,,,,B6704821-4C72-EE49-95DA-D7BF5876B418
,Character,,,,,Giuseppe Camuncoli,pencils,WFH,,,,43DD3E6A-87C1-1741-88DD-61799BEAB99F
,Character,,,,,Richard Friend,inks,WFH,,,,223CB987-10C9-DC4F-ACC1-B46241477020
,Character,,,,,Rian Hughes,cover,WFH,,,,58CDC878-1EEC-F04B-A7DC-E7374244CC18
,Character,,,,,Nathan Fairbarn,color,WFH,,,,83A31451-97DF-764F-B13E-62350B6D5A02
Ace Chemical Processing Plant,Location,"Flash 219
(4/26/2016)","Detective Comics #168
""The Man Behind The Red Hood!""",Feb-51,N,Bill Finger,writer,Contributor Recognition,,Deceased Contributor Recognition Agreement is with heir.,,B296123B-F44B-CE48-86C7-DAE4034DC489
,Location,,,,,Lew Sayre Schwartz,"pencils, cover pencils",None,,"Deceased
Schwartz's 2010 equity agreement for Deadshot acknowledges that all his services on Batman were WFH, regardless of whether he was employed by DC or Bob Kane.",,F33FA202-7BE3-7D4C-8ED2-9173AC7D3FDA
,Location,,,,,George Roussos,inks,None,,Deceased,,0BD694D1-E4B5-D345-A180-7E66A87AC06C
,Location,,,,,Charles Paris,cover inks,None,,Deceased,,60329CE2-18DF-0A48-AF33-A276B74319BF
Ace the Bat-Hound,Character,Lego Justice League - Flashpoint,"Batman #92
""Ace the Bat-Hound!""",Jun-55,Y,Bill Finger,writer,Contributor Recognition,,Deceased Contributor Recognition Agreement is with heir.,,7981B607-0F92-3F46-A845-0B04585B330D
,Character,,,,,Sheldon Moldoff,pencils,None,,"Deceased
Per the library and Wayne Smith (Corp. Legal), please check to see if Bob Kane should also be included in credits.",,21A2DC8A-0232-1646-B001-398EBA9117A3
,Character,,,,,Stan Kaye,inks,None,,Deceased,,D741DA8D-13E4-AF4E-899A-9B332E801564
,Character,,,,,"James Winslow ""Win"" Mortimer",cover,None,,Deceased,,9371EBC0-FCEC-B241-8FF5-F56044B57F41
"Acid Master
(Philip Master)",Character,Flash 516,"Action Comics #348
""Clark Kent, Fighting Federal Agent!""",Mar-67,Y,Jim Shooter,writer,None,,,,0806626A-EE5F-7B45-8C92-90D51444EBC2
,Character,,,,,Wayne Boring,"pencils, inks",None,,Deceased,,220771BB-2705-954F-AB20-56E99039F824
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,3334CB50-FF4C-1E46-8F96-01543A3D5652
